,ILMDHYLD,FEDL01,FHLK3MSPRD,1Y_3M_SPRD,vol_24m,vol_ratio
count,99.0,99.0,99.0,99.0,99.0,99.0
mean,1.2775558625454544,2.226836939848485,0.23713734349494953,0.05868686868686869,0.15721752398343886,1.4157771443008373
std,0.9085658741344196,1.921150953191863,0.08461158382140449,0.34355181549200103,0.07319965359126379,0.5069766291717468
min,0.26952381,0.048636364,0.023752381,-0.9,0.03628834027991383,0.26556315690363447
25%,0.561568182,0.4777272725,0.1919305565,-0.11499999999999999,0.07127884022333905,1.0
50%,1.077272727,1.7,0.218809545,0.01,0.18849072616162946,1.4050751939802206
75%,2.0172065215,4.33,0.280845164,0.22999999999999998,0.22671343662712498,1.6662217745925734
max,2.912173913,5.33,0.595227273,1.08,0.25143170752680366,2.9399955909008564
skewness,0.6558687927018805,0.49929100815261857,0.9346407956474492,0.5298073769308221,-0.17891859379428574,0.9611764375803185
kurtosis,-1.0125638864244415,-1.2194440220412168,2.899118188921361,1.5566582565498246,-1.7474324374745052,0.9802111800718878
