Fed_Funds_Rate,enhanced_beta,vol_adjusted_beta,quadratic_beta
0.0,0.36248018662149273,0.32000000000000006,0.4845118044450621
0.25,0.3656993128446528,0.32000000000000006,0.47084736483734313
0.5,0.36896830560220095,0.32000000000000006,0.45837761749733824
0.75,0.3722854168949823,0.32000000000000006,0.4471025624250473
1.0,0.37564876179800427,0.32191071698159573,0.43702219962047034
1.25,0.37905632078757784,0.32755099518674685,0.42813652908360744
1.5,0.38250594283701334,0.33359270849882094,0.42044555081445856
1.75,0.38599534928820145,0.3400088320042323,0.41394926481302363
2.0,0.3895221384992227,0.3467604395101943,0.4086476710793027
2.25,0.39308379126060217,0.35379693675623863,0.4045407696132958
2.5,0.3966776769650654,0.361057076959835,0.40162856041500294
2.75,0.40030106050776015,0.3684707726821201,0.399911043484424
3.0,0.40395110988601235,0.37596162305921077,0.3993882188215591
3.25,0.40762490445990235,0.3834499802829114,0.4000600864264082
3.5,0.4113194438274107,0.3908563022471303,0.40192664629897135
3.75,0.4150316572607161,0.39810449578576135,0.4049878984392485
4.0,0.4187584136435582,0.4051249563420485,0.4092438428472396
4.25,0.42249653184352265,0.41185705491013685,0.4146944795229447
4.5,0.426242791447777,0.4182509017112547,0.4213398084663639
4.75,0.42999394378628153,0.42426831174676466,0.42917982967749696
5.0,0.43374672316290197,0.4298829917270664,0.4382145431563441
5.25,0.4374978582122362,0.43508004543220263,0.44844394890290523
5.5,0.4412440832983727,0.4398549458861098,0.45986804691718036
5.75,0.44498214987127216,0.44421214532145115,0.4724868371991695
6.0,0.44870883769699493,0.4481634910935282,0.4863003197488726
6.25,0.4524209658795993,0.4517265943520851,0.5013084945662898
